FIP,Year,STATE,mean
1,2013,Alabama,0.598502599
1,2014,Alabama,0.467334546
1,2015,Alabama,0.544806024
1,2016,Alabama,0.56040431
2,2013,Alaska,0.609210936
2,2014,Alaska,
2,2015,Alaska,0.605176258
2,2016,Alaska,0.666124712
4,2013,Arizona,0.44706315799999996
4,2014,Arizona,0.368824415
4,2015,Arizona,0.436256652
4,2016,Arizona,0.37996634799999995
5,2013,Arkansas,0.626322554
5,2014,Arkansas,0.48253234100000003
5,2015,Arkansas,0.563812313
5,2016,Arkansas,0.5712953510000001
6,2013,California,0.235708797
6,2014,California,0.187158672
6,2015,California,0.235507313
6,2016,California,0.213434158
8,2013,Colorado,0.502715567
8,2014,Colorado,0.365837149
8,2015,Colorado,0.45338465899999997
8,2016,Colorado,0.39964281100000004
9,2013,Connecticut,0.244112606
9,2014,Connecticut,0.204234396
9,2015,Connecticut,0.32435465199999997
9,2016,Connecticut,0.258995939
10,2013,Delaware,0.373201505
10,2014,Delaware,0.30733155100000004
10,2015,Delaware,0.432484965
10,2016,Delaware,0.44064118
12,2013,Florida,0.326840726
12,2014,Florida,0.223645083
12,2015,Florida,0.335622078
12,2016,Florida,0.30349237100000004
13,2013,Georgia,0.456521915
13,2014,Georgia,0.30380194899999996
13,2015,Georgia,0.407383679
13,2016,Georgia,0.391148731
15,2013,Hawaii,0.230815185
15,2014,Hawaii,
15,2015,Hawaii,0.254151118
15,2016,Hawaii,0.249687765
16,2013,Idaho,0.605656938
16,2014,Idaho,
16,2015,Idaho,0.5628444229999999
16,2016,Idaho,0.682871621
17,2013,Illinois,0.35371137399999997
17,2014,Illinois,0.22378381
17,2015,Illinois,0.34520106
17,2016,Illinois,0.272627457
18,2013,Indiana,0.510870169
18,2014,Indiana,0.41925840700000006
18,2015,Indiana,0.48949817700000003
18,2016,Indiana,0.452969369
19,2013,Iowa,0.561869136
19,2014,Iowa,
19,2015,Iowa,0.505972503
19,2016,Iowa,0.54858179
20,2013,Kansas,0.569501664
20,2014,Kansas,0.409914995
20,2015,Kansas,0.47178022
20,2016,Kansas,0.466262675
21,2013,Kentucky,0.61192095
21,2014,Kentucky,0.42188289100000004
21,2015,Kentucky,0.54942889
21,2016,Kentucky,0.565437093
22,2013,Louisiana,0.570755321
22,2014,Louisiana,0.44594493700000004
22,2015,Louisiana,0.535450907
22,2016,Louisiana,0.56567991
23,2013,Maine,0.640072883
23,2014,Maine,
23,2015,Maine,0.488383346
23,2016,Maine,0.6200054429999999
