FIP,Year,STATE,HFR,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,HuntLic,GunsAmmo,BackChk,PewQChng,BS1,BS2,BS3
1,1980,Alabama,0.608,0.031,0,0,0.824324324,0.833795014,-9,0.553950394,0.583631578,-9,0.291102487,-0.509164477,-9,0,0,0,0
1,1981,Alabama,0.597,0.047,0,0,0.692307692,0.831125828,-9,-9,-9,-9,0.294961758,-0.618953608,-9,0,1,0,0
1,1982,Alabama,0.661,0.036,0,0,0.77173913,0.821428571,-9,-9,0.655195914,-9,0.290544843,-0.526692252,-9,0,2,0,0
1,1983,Alabama,0.586,0.038,0,0,0.688172043,0.819277108,-9,0.611440283,-9,-9,0.28498261,-0.713226627,-9,0,3,0,0
1,1984,Alabama,0.624,0.036,0,0,0.71,0.775956284,-9,-9,0.626932571,-9,0.281621729,-0.733304955,-9,0,4,0,0
1,1985,Alabama,0.644,0.031,0,0,0.755555556,0.835294118,-9,0.611974192,0.662105594,-9,0.278213793,-0.719122017,-9,0,5,0,0
1,1986,Alabama,0.567,0.038,0,0,0.686868687,0.777777778,-9,0.596843465,-9,-9,0.27530177,-0.732234008,-9,0,6,0,0
1,1987,Alabama,0.609,0.036,0,0,0.711340206,0.795454545,-9,-9,0.586605265,-9,0.278851679,-0.842905674,-9,0,7,0,0
1,1988,Alabama,0.606,0.031,0,0,0.638095238,0.804071247,-9,0.768345462,0.505046458,-9,0.273267002,-0.835570306,-9,0,7.91,0.09,0
1,1989,Alabama,0.627,0.031,0,0,0.714285714,0.801470588,-9,0.702464325,0.583599277,-9,0.26924349,-0.646930843,-9,0,8.73,0.27,0
1,1990,Alabama,0.641,0.031,0,0,0.767676768,0.860240964,-9,0.652096038,0.620018427,-9,0.25521284,-0.752433883,-9,0,9.45,0.55,0
1,1991,Alabama,0.632,0.031,0,0,0.65625,0.81489842,-9,0.699917832,0.616140965,-9,0.249209578,-0.806069029,-9,0,10.09,0.91,0
1,1992,Alabama,0.552,0.047,0,0,0.717391304,0.765661253,-9,-9,-9,-9,0.248808824,-0.823236144,-9,0,10.64,1.36,0
1,1993,Alabama,0.6,0.031,0,0,0.71559633,0.794117647,-9,0.682880664,0.541685358,-9,0.247217095,-0.631046623,-9,0,11.09,1.91,0
1,1994,Alabama,0.571,0.036,0,0,0.657894737,0.775119617,-9,-9,0.545011063,-9,0.244708732,-0.611365934,-9,0,11.45,2.55,0
1,1995,Alabama,0.554,0.047,0,0,0.639534884,0.786163522,-9,-9,-9,-9,0.250193779,-0.325589519,-9,0,11.73,3.27,0
1,1996,Alabama,0.568,0.031,0,0,0.699029126,0.8,-9,0.502761351,0.569423208,-9,0.247112829,-0.121917923,-9,0,11.91,4.09,0
1,1997,Alabama,0.557,0.029,0,0,0.697247706,0.781637717,-9,0.594294617,-9,0.570439779,0.245158404,-0.152237862,-9,0,12,5,0
1,1998,Alabama,0.577,0.036,0,0,0.657657658,0.794759825,-9,-9,0.546264369,-9,0.24371378,0.004365336,-9,0,12,6,0
1,1999,Alabama,0.537,0.036,0,0,0.697916667,0.801742919,-9,0.520277205,-9,-9,0.240077994,-0.280923069,0.977564585,0,12,7,0
1,2000,Alabama,0.538,0.026,0,0,0.616071429,0.760084926,-9,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.849505839,0,12,7.91,0.09
